Finding #,Finding Title,Primary Classification,Disposition Recommendation,Proposed Cluster,Related Findings,Confidence,Short Rationale
112,Flat Presentation Must Remain Derived,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#111, #50, #19",HIGH,Flat presentation is likewise derived; resemblance to the planar ground confers no authority.
113,Spatial Ground Must Survive Presentation Change,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#42, #110, #4",HIGH,Restates #42 (experience replacement) for visual presentation.
114,Spatial Ground Must Preserve Exact Inclusion Semantics,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#16, #15, #26",MEDIUM,Restates #16 combined with #26; wording leans toward Specification.
115,Shared Boundary Cases Must Resolve Once,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#16, #114, #15",HIGH,"Restates #16: one membership result at the limit, no competing edge conventions."
116,Canonical Normalization Must Preserve Membership,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Canonical Equivalence,"#65, #117, #29",HIGH,Normalization rule; presupposes a formal normalization mechanism.
117,Equivalent Geometry Must Produce Equivalent Ground,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Canonical Equivalence,"#65, #116, #77",MEDIUM,"Depends on ""canonical equivalence rules""; the underlying obligation is already in #29 and #65."
118,Spatial Ground Must Reject Self-Contradictory Definitions,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,"#60, #66, #61",HIGH,Invalidity condition for self-contradictory definitions; itemizes #66.
119,Spatial Ground Must Reject Incomplete Authority,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,"#66, #54, #158",HIGH,Invalidity condition for incomplete definitions; itemizes #66 against the completeness of #54.
120,Partial Implementations Must Not Masquerade as Canonical Completeness,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,"#86, #119, #63",MEDIUM,Conformance-claim discipline for partial implementations; borders on Operations.
121,World-Space Must Be Globally Coherent,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#8, #122, #15",MEDIUM,Global coherence follows from single truth (#8) and total membership (#15).
122,Local Optimization Must Preserve Global Truth,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Operational Non-Authority,"#19, #78, #121",HIGH,Operational rule for partitioned and distributed computation; the principle is #19.
123,Spatial Ground Must Tolerate Distributed Implementation,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Technology and Infrastructure Independence,"#81, #147, #124",MEDIUM,Distribution tolerance; operational expression of #81 with a custody-independence aspect shared with #147.
124,Distribution Must Not Fragment Authority,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#8, #125, #21",HIGH,No regional authorities; instance of #8.
125,Replicas Must Be Semantically Identical,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#77, #31, #124",HIGH,Replica identity of meaning; instance of #8 and #77.
126,Preservation Must Include Governing Meaning,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#127, #129, #69",HIGH,Preserve interpretive rules with the data. First half of the rule-plus-definition pair.
127,Data Without Specification Is Insufficient,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#126, #129, #27",HIGH,Contrapositive restatement of #126.
128,Specification Without Required World Definition Is Insufficient,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#126, #129, #10",HIGH,Rules alone are insufficient; the actual World-space definition must survive. Second half of the pair.
129,Canonical Preservation Requires Both Rule and Definition,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#126, #128, #10",HIGH,Synthesis of #126 and #128; adds no content but is the best single wording for the pair.
130,Spatial Ground Must Support Provenance Without Depending on It for Meaning,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,"#131, #82, #68",MEDIUM,"Provenance is preservable and verifiable, yet meaning must not rest on reputation or undocumented context."
131,Provenance Must Not Become Geography,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#82, #130, #4",HIGH,Provenance does not determine location; same pattern as #82.
132,Governance May Maintain the Standard but Not Arbitrarily Move The World,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Change Control and Permanence,"#4, #136, #135",HIGH,"Limits ordinary governance power over established World-space. AUTHORITY: any power to alter extent would sit upstream (constitutional), not in SG."
133,Correction Requires Evidence of Error,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Change Control and Permanence,"#134, #135, #132",HIGH,"Correction standard: demonstrable canonical error, not evolution."
134,Correction Must Preserve Historical Accountability,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,"#133, #135, #130",HIGH,Corrections remain traceable; no silent overwrite.
135,Correction Is Not Redesign,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#133, #132, #136",HIGH,Follows from #132 and #133 taken together.
136,Spatial Ground Must Distinguish Standard Evolution From World Change,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#29, #71, #132",MEDIUM,"Restates #29's ""version the standard, not the place"" in governance language."
137,Spatial Ground Must Preserve Semantic Minimality,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#58, #20, #140",MEDIUM,Restates #58 as a presumption against inclusion. METHODOLOGICAL in part: an admission criterion for SG canon rather than an obligation SG satisfies.
138,Convenience Is Not Sufficient Justification,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#58, #80, #137",HIGH,Convenience is no justification; instance of #58 and #80. METHODOLOGICAL admission criterion.
139,Future Use Is Not Sufficient Justification,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#58, #137, #144",HIGH,Speculative future use is no justification; instance of #58. METHODOLOGICAL admission criterion.
140,Spatial Ground Must Pass Its Own Removal Test Internally,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Minimality and Semantic Restraint,"#58, #137, #141",MEDIUM,"METHODOLOGICAL: a removal test for proposed components, effectively the audit question of this review. Governs consolidation and change control, not SG behavior."
141,Spatial Ground Should Be Astonishingly Small,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#58, #150, #140",MEDIUM,"METHODOLOGICAL: aspirational success criterion restating #58; ""should"" language."
142,Permanence Increases Downward,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Change Control and Permanence,"#4, #143, #132",MEDIUM,"AUTHORITY: cross-layer architectural discipline, not SG. METHODOLOGICAL principle about how much a deep layer may commit to."
143,Extensibility Increases Upward,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#142, #53, #144",MEDIUM,"Upward freedom follows from #20, #30 and #53; companion to #142 and partly methodological."
144,Spatial Ground Must Enable Rather Than Anticipate Civilization,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#20, #185, #139",HIGH,"Enable, do not anticipate; instance of #20."
145,Spatial Ground Must Remain Valid in 2150 Without Knowing 2150,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#200, #81, #29",MEDIUM,"Earlier, weaker form of #200. METHODOLOGICAL: a success test for the architecture."
146,World-Space Must Outlive Its Software,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#43, #81, #84",HIGH,Restates #43 for software.
147,World-Space Must Outlive Its Institutions,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#81, #68, #123",MEDIUM,"Independence from any custodian or institution. Not covered by #81 (technology only); possibly primitive, review should decide."
148,World-Space Must Outlive Its Creators,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#69, #68, #149",MEDIUM,"Restates #69's ""without reconstructing undocumented design intent""."
149,Spatial Ground Must Be Self-Explaining Through Its Canonical Record,TERMINOLOGY / DOCUMENTATION CANDIDATE,MOVE TO TERMINOLOGY / DOCUMENTATION,Terminology Discipline,"#69, #148, #126",MEDIUM,"Documentation discipline: the record itself separates canonical truth, derived representation, open questions and prohibited readings."
150,The Governing Spatial Ground Principle,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Core World-Space Membership,"#1, #90, #58",HIGH,"Restates #1, #90 and #58 in one sentence. Strong wording source for the governing definition."
151,Spatial Ground Must Define Its Canonical Object of Truth,TERMINOLOGY / DOCUMENTATION CANDIDATE,MOVE TO TERMINOLOGY / DOCUMENTATION,Core World-Space Membership,"#1, #19, #18",MEDIUM,"Definitional: the canonical object is the determination itself, not any artifact. Content follows from #1 and #19."
152,World-Space Membership Must Be Binary at the Canonical Level,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #153, #100",HIGH,"Restates #15's two-valued membership; itemizes the excluded kinds (fuzzy, probabilistic)."
153,Uncertainty Belongs Outside Canonical Ground,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #152, #154",HIGH,Uncertainty is not canonical; follows from #15.
154,Spatial Ground Must Separate Discovery State From Canonical State,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Institutional Authority and Adoption,"#155, #156, #153",HIGH,Discovery state vs. adopted canonical state. Parent of the candidate-vs-adopted family.
155,Provisional Ground Must Be Explicitly Non-Canonical,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Institutional Authority and Adoption,"#154, #156, #63",HIGH,Marking of provisional definitions; close companion of #154.
156,Candidate Ground Must Not Leak Into Higher Canon,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Institutional Authority and Adoption,"#155, #154, #89",MEDIUM,Upward application of #154 and #155.
157,Spatial Ground Must Have One Canonical Inclusion Function,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#15, #158, #8",MEDIUM,Calls for a formal membership mechanism. The obligation is already in #15 and #8; the mechanism belongs to Specification.
158,Inclusion Must Be Total Over Valid Survey Reference,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #157, #119",HIGH,"Restates the totality already in #15 (""every valid representable Survey location"")."
159,Invalid Survey Reference Must Remain Invalid,FSF DEPENDENCY / DOWNWARD CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Survey Dependency / Downward Contract,"#12, #160, #14",MEDIUM,AUTHORITY: FSF owns validity. SG's share is a domain restriction: membership applies only to valid Survey reference. Not clearly derivable from #12.
160,Spatial Ground Cannot Repair Survey Invalidity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#159, #12, #195",HIGH,Behavioral restatement of #159.
161,Spatial Ground Must Inherit Survey Exactness,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #11, #62",HIGH,AUTHORITY: FSF. Inheritance of exactness; instance of #12.
162,Spatial Ground Must Inherit Survey Determinism,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #161, #26",HIGH,AUTHORITY: FSF. Inheritance of determinism; instance of #12.
163,Spatial Ground Must Inherit Survey Finitude,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#13, #164, #12",HIGH,Restates #13's containment within the finite Survey Domain.
164,World-Space Cannot Exceed Survey Authority,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#13, #163, #165",HIGH,Restates #13 and #163 from the representability side.
165,Survey Capacity Must Exceed or Equal World Need,FSF DEPENDENCY / DOWNWARD CONTRACT,REQUIRES ARCHITECTURAL REVIEW,Survey Dependency / Downward Contract,"#12, #164, #47",MEDIUM,First clause places an obligation on FSF from above. Better recorded as a dependency assumption; second clause is #12 and #47.
166,Spatial Ground Must Not Redefine Pang,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #47, #167",HIGH,AUTHORITY: FSF. Itemized non-redefinition (Pang); instance of #12.
167,Spatial Ground Must Not Redefine Canonical Direction,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #109, #166",HIGH,AUTHORITY: FSF. Itemized non-redefinition (directions); instance of #12.
168,Spatial Ground Must Not Redefine the Canonical Origin,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #47, #108",HIGH,AUTHORITY: FSF. Itemized non-redefinition (origin); already listed in #47.
169,Spatial Ground Must Not Redefine Handedness,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #167, #47",HIGH,AUTHORITY: FSF. Itemized non-redefinition (handedness); instance of #12.
170,Spatial Ground Must Preserve Exact Spatial Correspondence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Placement,"#46, #88, #12",HIGH,Restates #46.
171,The Ground-to-Survey Relationship Must Be Normative,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #46, #27",MEDIUM,"Relationship must be normative, not convention; follows from #12 and #27 (no hidden convention)."
172,Higher Architecture Must Not Bypass Spatial Ground,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Upward Handoff,"#89, #173, #23",HIGH,No bypass of SG straight from Survey coordinates; sharpens #89 by naming the route.
173,"Direct Survey Use Above Spatial Ground May Be Computational, Not Ontological",UPWARD HANDOFF / HIGHER-LAYER CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Upward Handoff,"#172, #89, #12",MEDIUM,Permits direct computational use of Survey mathematics above SG without membership authority. The permission is new content; the limit is #89.
